container_id,container_size,container_pulling_delay
0,875,437.5
1,972,486.0
2,230,115.0
3,848,424.0
4,815,407.5
5,383,191.5
6,712,356.0
7,267,133.5
8,663,331.5
9,792,396.0
10,354,177.0
11,718,359.0
12,828,414.0
13,533,266.5
14,401,200.5
15,857,428.5
16,422,211.0
17,581,290.5
18,718,359.0
19,353,176.5
20,990,495.0
21,699,349.5
22,615,307.5
23,931,465.5
24,664,332.0
25,231,115.5
26,708,354.0
27,264,132.0
28,452,226.0
29,990,495.0
30,965,482.5
31,526,263.0
32,767,383.5
33,395,197.5
34,767,383.5
35,270,135.0
36,689,344.5
37,670,335.0
38,265,132.5
39,761,380.5
40,212,106.0
41,634,317.0
42,275,137.5
43,646,323.0
44,803,401.5
45,838,419.0
46,815,407.5
47,796,398.0
48,975,487.5
49,653,326.5
50,531,265.5
51,326,163.0
52,541,270.5
53,235,117.5
54,796,398.0
55,431,215.5
56,391,195.5
57,359,179.5
58,464,232.0
59,279,139.5
60,842,421.0
61,900,450.0
62,548,274.0
63,792,396.0
64,611,305.5
65,266,133.0
66,349,174.5
67,677,338.5
68,922,461.0
69,249,124.5
70,940,470.0
71,546,273.0
72,358,179.0
73,224,112.0
74,983,491.5
75,507,253.5
76,807,403.5
77,936,468.0
78,275,137.5
79,932,466.0
80,923,461.5
81,703,351.5
82,426,213.0
83,314,157.0
84,813,406.5
85,635,317.5
86,357,178.5
87,836,418.0
88,748,374.0
89,703,351.5
90,415,207.5
91,413,206.5
92,538,269.0
93,916,458.0
94,683,341.5
95,243,121.5
96,678,339.0
97,948,474.0
98,962,481.0
99,669,334.5
100,890,445.0
101,772,386.0
102,378,189.0
103,657,328.5
104,244,122.0
105,497,248.5
106,951,475.5
107,543,271.5
108,622,311.0
109,383,191.5
110,754,377.0
111,670,335.0
112,527,263.5
113,857,428.5
114,588,294.0
115,595,297.5
116,920,460.0
117,971,485.5
118,662,331.0
119,221,110.5
