container_id,container_size,container_pulling_delay
0,961,480.5
1,352,176.0
2,895,447.5
3,938,469.0
4,825,412.5
5,892,446.0
6,800,400.0
7,249,124.5
8,706,353.0
9,648,324.0
10,334,167.0
11,537,268.5
12,769,384.5
13,645,322.5
14,794,397.0
15,900,450.0
16,685,342.5
17,624,312.0
18,201,100.5
19,300,150.0
20,657,328.5
21,776,388.0
22,860,430.0
23,971,485.5
24,669,334.5
25,223,111.5
26,546,273.0
27,269,134.5
28,446,223.0
29,769,384.5
30,872,436.0
31,210,105.0
32,429,214.5
33,621,310.5
34,806,403.0
35,288,144.0
36,317,158.5
37,211,105.5
38,333,166.5
39,755,377.5
