container_id,container_size,container_pulling_delay
0,905,452.5
1,508,254.0
2,725,362.5
3,467,233.5
4,922,461.0
5,307,153.5
6,505,252.5
7,446,223.0
8,522,261.0
9,956,478.0
10,202,101.0
11,251,125.5
12,641,320.5
13,949,474.5
14,958,479.0
15,393,196.5
16,326,163.0
17,400,200.0
18,583,291.5
19,445,222.5
20,312,156.0
21,220,110.0
22,893,446.5
23,519,259.5
24,518,259.0
25,282,141.0
26,253,126.5
27,787,393.5
28,670,335.0
29,294,147.0
30,581,290.5
31,272,136.0
32,889,444.5
33,820,410.0
34,795,397.5
35,983,491.5
36,475,237.5
37,362,181.0
38,550,275.0
39,337,168.5
40,797,398.5
41,945,472.5
42,598,299.0
43,445,222.5
44,960,480.0
45,397,198.5
46,954,477.0
47,656,328.0
48,313,156.5
49,828,414.0
