container_id,container_size,container_pulling_delay
0,253,126.5
1,576,288.0
2,469,234.5
3,651,325.5
4,912,456.0
5,475,237.5
6,860,430.0
7,205,102.5
8,544,272.0
9,513,256.5
10,940,470.0
11,628,314.0
12,426,213.0
13,928,464.0
14,981,490.5
15,770,385.0
16,558,279.0
17,928,464.0
18,325,162.5
19,289,144.5
20,708,354.0
21,350,175.0
22,732,366.0
23,247,123.5
24,933,466.5
25,447,223.5
26,234,117.0
27,944,472.0
28,905,452.5
29,242,121.0
30,639,319.5
31,572,286.0
32,372,186.0
33,886,443.0
34,452,226.0
35,408,204.0
36,702,351.0
37,600,300.0
38,733,366.5
39,923,461.5
40,811,405.5
41,573,286.5
42,786,393.0
43,378,189.0
44,843,421.5
45,259,129.5
46,413,206.5
47,952,476.0
48,721,360.5
49,446,223.0
50,681,340.5
51,763,381.5
52,689,344.5
53,500,250.0
54,931,465.5
55,518,259.0
56,606,303.0
57,824,412.0
58,786,393.0
59,773,386.5
60,699,349.5
61,274,137.0
62,326,163.0
63,263,131.5
64,905,452.5
65,969,484.5
66,764,382.0
67,893,446.5
68,860,430.0
69,967,483.5
70,391,195.5
71,907,453.5
72,449,224.5
73,638,319.0
74,983,491.5
75,863,431.5
76,492,246.0
77,811,405.5
78,403,201.5
79,799,399.5
