container_id,container_size,container_pulling_delay
0,307,153.5
1,577,288.5
2,365,182.5
3,983,491.5
4,326,163.0
5,455,227.5
6,541,270.5
7,487,243.5
8,547,273.5
9,812,406.0
10,629,314.5
11,760,380.0
12,509,254.5
13,433,216.5
14,753,376.5
15,849,424.5
16,709,354.5
17,924,462.0
18,942,471.0
19,800,400.0
20,771,385.5
21,295,147.5
22,840,420.0
23,644,322.0
24,743,371.5
25,341,170.5
26,968,484.0
27,313,156.5
28,874,437.0
29,300,150.0
30,849,424.5
31,875,437.5
32,850,425.0
33,983,491.5
34,741,370.5
35,669,334.5
36,790,395.0
37,355,177.5
38,725,362.5
39,750,375.0
40,423,211.5
41,205,102.5
42,378,189.0
43,591,295.5
44,487,243.5
45,284,142.0
46,393,196.5
47,696,348.0
48,455,227.5
49,912,456.0
