container_id,container_size,container_pulling_delay
0,733,366.5
1,536,268.0
2,519,259.5
3,569,284.5
4,846,423.0
5,491,245.5
6,591,295.5
7,615,307.5
8,388,194.0
9,403,201.5
10,864,432.0
11,549,274.5
12,227,113.5
13,677,338.5
14,226,113.0
15,776,388.0
16,833,416.5
17,609,304.5
18,274,137.0
19,981,490.5
20,912,456.0
21,785,392.5
22,571,285.5
23,859,429.5
24,706,353.0
25,993,496.5
26,209,104.5
27,580,290.0
28,551,275.5
29,843,421.5
30,433,216.5
31,317,158.5
32,931,465.5
33,852,426.0
34,918,459.0
35,321,160.5
36,801,400.5
37,388,194.0
38,480,240.0
39,946,473.0
40,719,359.5
41,867,433.5
42,874,437.0
43,417,208.5
44,326,163.0
45,360,180.0
46,817,408.5
47,334,167.0
48,207,103.5
49,265,132.5
