container_id,container_size,container_pulling_delay
0,0.413,0.00041299999999999996
1,0.283,0.000283
2,1.311,0.0013109999999999999
3,1.179,0.0011790000000000001
4,1.492,0.001492
5,1.842,0.001842
6,0.887,0.000887
7,1.973,0.001973
8,1.609,0.001609
9,1.671,0.001671
10,1.927,0.0019270000000000001
11,1.278,0.001278
12,0.3,0.0003
13,1.444,0.001444
14,1.803,0.001803
15,1.305,0.001305
16,0.615,0.000615
17,1.361,0.001361
18,0.917,0.0009170000000000001
19,1.714,0.001714
20,1.472,0.001472
21,0.662,0.000662
22,1.596,0.001596
23,1.391,0.001391
24,1.043,0.0010429999999999999
25,1.93,0.0019299999999999999
26,0.892,0.000892
27,0.907,0.000907
28,0.416,0.000416
29,1.204,0.001204
30,1.436,0.001436
31,0.985,0.000985
32,1.534,0.001534
33,0.876,0.000876
34,1.278,0.001278
35,0.456,0.000456
36,1.113,0.001113
37,1.94,0.0019399999999999999
38,1.83,0.00183
39,0.592,0.000592
40,1.373,0.001373
41,1.395,0.001395
42,1.262,0.001262
43,1.884,0.0018839999999999998
44,1.213,0.001213
45,1.312,0.001312
46,0.584,0.000584
47,0.99,0.00099
48,0.901,0.000901
49,0.909,0.000909
50,1.356,0.001356
51,0.43,0.00043
52,1.179,0.0011790000000000001
53,1.933,0.001933
54,0.651,0.000651
55,1.618,0.001618
56,1.904,0.0019039999999999999
57,1.792,0.001792
58,0.129,0.000129
59,1.99,0.00199
60,0.129,0.000129
61,1.187,0.0011870000000000001
62,1.963,0.001963
63,0.57,0.00057
64,0.093,9.3e-05
65,0.908,0.0009080000000000001
66,0.158,0.000158
67,0.974,0.0009739999999999999
68,1.31,0.00131
69,1.447,0.0014470000000000002
70,1.352,0.0013520000000000001
71,0.71,0.0007099999999999999
72,0.3,0.0003
73,1.852,0.0018520000000000001
74,1.035,0.001035
75,0.075,7.5e-05
76,1.739,0.001739
77,0.54,0.00054
78,1.769,0.001769
79,1.934,0.001934
80,1.164,0.0011639999999999999
81,1.577,0.001577
82,1.478,0.001478
83,1.274,0.001274
84,0.62,0.00062
85,0.962,0.000962
86,0.542,0.0005420000000000001
87,0.83,0.00083
88,0.697,0.0006969999999999999
89,0.886,0.000886
90,0.42,0.00041999999999999996
91,0.809,0.000809
92,0.423,0.000423
93,0.612,0.000612
94,1.07,0.00107
95,1.791,0.0017909999999999998
96,1.9,0.0019
97,0.113,0.00011300000000000001
98,0.232,0.000232
99,0.354,0.000354
