Episode: 100, [-5.03, 1.3, -1.61, 0.82, -2.32, -0.53, -0.56, -0.69, 3.07, -2.2]
Episode: 200, [0.08, 1.01, -3.0, -1.58, 2.7, -1.33, -1.89, 1.51, 1.89, -1.83]
Episode: 300, [0.74, 0.94, 0.52, -1.15, 3.03, -1.11, -1.24, 1.93, 2.16, 0.73]
Episode: 400, [0.48, 1.49, 2.98, -1.99, 2.88, -1.05, -1.12, 1.39, 2.36, 3.93]
Episode: 500, [-0.09, 1.46, 1.97, -2.25, 5.13, -0.94, -1.37, 1.78, 2.19, 3.14]
Episode: 600, [-0.51, 1.7, 1.49, -1.75, 5.16, -0.2, -1.24, 2.24, 2.66, 2.83]
Episode: 700, [-0.17, 1.66, 1.19, -1.69, 4.69, -0.57, -0.63, 2.8, 2.95, 2.67]
Episode: 800, [0.17, 2.01, 1.53, -0.2, 4.77, -0.52, -0.39, 3.79, 3.93, 3.22]
Episode: 900, [0.13, 1.86, 1.31, -0.68, 4.63, -0.5, -0.44, 3.86, 3.99, 2.63]
Episode: 1000, [-0.55, 1.85, 1.43, -1.27, 4.85, -0.55, -0.51, 3.77, 3.85, 2.89]
Episode: 1100, [-0.05, 1.64, 1.43, -1.73, 4.75, -0.27, -0.37, 3.57, 4.01, 2.69]
Episode: 1200, [-0.4, 1.59, 1.41, -1.82, 4.8, -0.6, -0.21, 3.53, 3.98, 2.64]
Episode: 1300, [-0.22, 1.76, 1.49, -0.79, 4.81, -0.51, -0.28, 3.39, 4.24, 2.97]
Episode: 1400, [-0.21, 1.81, 1.26, -0.1, 4.56, -0.52, -0.43, 4.09, 3.87, 2.65]
Episode: 1500, [-0.17, 1.3, 1.11, -0.41, 4.63, -0.65, -0.31, 3.58, 4.25, 2.97]
Episode: 1600, [-0.11, 1.61, 1.46, -0.43, 4.82, -0.62, -0.47, 3.74, 4.24, 2.95]
Episode: 1700, [-0.04, 1.82, 1.41, -0.18, 4.8, -0.49, -0.46, 3.44, 3.73, 2.99]
Episode: 1800, [-0.18, 1.44, 1.16, -0.24, 5.02, -0.57, -0.36, 3.57, 4.29, 2.85]
