container_id,container_size,container_pulling_delay
0,564,282.0
1,813,406.5
2,494,247.0
3,951,475.5
4,505,252.5
5,741,370.5
6,596,298.0
7,242,121.0
8,319,159.5
9,565,282.5
10,881,440.5
11,879,439.5
12,767,383.5
13,854,427.0
14,252,126.0
15,484,242.0
16,278,139.0
17,944,472.0
18,608,304.0
19,680,340.0
20,863,431.5
21,252,126.0
22,399,199.5
23,786,393.0
24,901,450.5
25,748,374.0
26,835,417.5
27,705,352.5
28,332,166.0
29,681,340.5
30,935,467.5
31,546,273.0
32,708,354.0
33,496,248.0
34,483,241.5
35,337,168.5
36,794,397.0
37,712,356.0
38,613,306.5
39,623,311.5
40,641,320.5
41,781,390.5
42,782,391.0
43,228,114.0
44,846,423.0
45,567,283.5
46,491,245.5
47,680,340.0
48,821,410.5
49,718,359.0
