container_id,container_size,container_pulling_delay
0,296,148.0
1,425,212.5
2,785,392.5
3,297,148.5
4,527,263.5
5,256,128.0
6,839,419.5
7,431,215.5
8,205,102.5
9,216,108.0
10,946,473.0
11,996,498.0
12,573,286.5
13,856,428.0
14,953,476.5
15,832,416.0
16,227,113.5
17,702,351.0
18,589,294.5
19,223,111.5
20,418,209.0
21,751,375.5
22,644,322.0
23,323,161.5
24,829,414.5
25,529,264.5
26,272,136.0
27,948,474.0
28,285,142.5
29,202,101.0
30,295,147.5
31,613,306.5
32,752,376.0
33,867,433.5
34,490,245.0
35,833,416.5
36,796,398.0
37,637,318.5
38,506,253.0
39,957,478.5
40,344,172.0
41,793,396.5
42,412,206.0
43,205,102.5
44,657,328.5
45,276,138.0
46,450,225.0
47,463,231.5
48,592,296.0
49,883,441.5
