container_id,container_size,container_pulling_delay
0,361,180.5
1,207,103.5
2,731,365.5
3,482,241.0
4,965,482.5
5,991,495.5
6,874,437.0
7,252,126.0
8,306,153.0
9,379,189.5
10,291,145.5
11,813,406.5
12,295,147.5
13,700,350.0
14,320,160.0
15,274,137.0
16,857,428.5
17,310,155.0
18,781,390.5
19,500,250.0
20,418,209.0
21,391,195.5
22,935,467.5
23,574,287.0
24,843,421.5
25,587,293.5
26,742,371.0
27,874,437.0
28,229,114.5
29,373,186.5
30,977,488.5
31,345,172.5
32,313,156.5
33,797,398.5
34,571,285.5
35,265,132.5
36,560,280.0
37,788,394.0
38,220,110.0
39,708,354.0
40,767,383.5
41,315,157.5
42,446,223.0
43,647,323.5
44,542,271.0
45,617,308.5
46,614,307.0
47,713,356.5
48,702,351.0
49,497,248.5
