container_id,container_size,container_pulling_delay
0,707,353.5
1,865,432.5
2,803,401.5
3,633,316.5
4,962,481.0
5,210,105.0
6,539,269.5
7,520,260.0
8,921,460.5
9,650,325.0
10,284,142.0
11,628,314.0
12,673,336.5
13,375,187.5
14,777,388.5
15,644,322.0
16,911,455.5
17,923,461.5
18,940,470.0
19,612,306.0
20,306,153.0
21,540,270.0
22,765,382.5
23,273,136.5
24,346,173.0
25,286,143.0
26,479,239.5
27,886,443.0
28,566,283.0
29,480,240.0
30,253,126.5
31,360,180.0
32,287,143.5
33,746,373.0
34,233,116.5
35,841,420.5
36,483,241.5
37,392,196.0
38,668,334.0
39,431,215.5
40,924,462.0
41,341,170.5
42,838,419.0
43,496,248.0
44,606,303.0
45,473,236.5
46,948,474.0
47,832,416.0
48,772,386.0
49,739,369.5
50,750,375.0
51,660,330.0
52,300,150.0
53,281,140.5
54,731,365.5
55,363,181.5
56,291,145.5
57,728,364.0
58,997,498.5
59,852,426.0
60,522,261.0
61,580,290.0
62,951,475.5
63,208,104.0
64,948,474.0
65,934,467.0
66,792,396.0
67,733,366.5
68,683,341.5
69,924,462.0
