container_id,container_size,container_pulling_delay
0,934,467.0
1,757,378.5
2,394,197.0
3,888,444.0
4,384,192.0
5,215,107.5
6,616,308.0
7,785,392.5
8,973,486.5
9,421,210.5
10,597,298.5
11,694,347.0
12,822,411.0
13,565,282.5
14,605,302.5
15,244,122.0
16,416,208.0
17,994,497.0
18,768,384.0
19,749,374.5
20,574,287.0
21,642,321.0
22,648,324.0
23,262,131.0
24,422,211.0
25,464,232.0
26,695,347.5
27,829,414.5
28,270,135.0
29,548,274.0
30,630,315.0
31,567,283.5
32,929,464.5
33,546,273.0
34,753,376.5
35,379,189.5
36,479,239.5
37,746,373.0
38,781,390.5
39,629,314.5
40,278,139.0
41,262,131.0
42,948,474.0
43,721,360.5
44,454,227.0
45,757,378.5
46,744,372.0
47,254,127.0
48,734,367.0
49,294,147.0
