container_id,container_size,container_pulling_delay
0,715,357.5
1,851,425.5
2,996,498.0
3,562,281.0
4,641,320.5
5,644,322.0
6,907,453.5
7,204,102.0
8,501,250.5
9,400,200.0
10,514,257.0
11,616,308.0
12,695,347.5
13,504,252.0
14,403,201.5
15,844,422.0
16,488,244.0
17,561,280.5
18,348,174.0
19,766,383.0
20,920,460.0
21,875,437.5
22,406,203.0
23,303,151.5
24,708,354.0
25,441,220.5
26,882,441.0
27,738,369.0
28,625,312.5
29,867,433.5
30,882,441.0
31,939,469.5
32,708,354.0
33,678,339.0
34,373,186.5
35,667,333.5
36,997,498.5
37,518,259.0
38,468,234.0
39,234,117.0
40,492,246.0
41,572,286.0
42,305,152.5
43,447,223.5
44,593,296.5
45,753,376.5
46,884,442.0
47,819,409.5
48,715,357.5
49,745,372.5
50,704,352.0
51,477,238.5
52,766,383.0
53,317,158.5
54,205,102.5
55,579,289.5
56,233,116.5
57,596,298.0
58,605,302.5
59,658,329.0
60,922,461.0
61,492,246.0
62,879,439.5
63,931,465.5
64,896,448.0
65,518,259.0
66,892,446.0
67,977,488.5
68,301,150.5
69,211,105.5
70,662,331.0
71,569,284.5
72,216,108.0
73,542,271.0
74,945,472.5
75,615,307.5
76,232,116.0
77,454,227.0
78,268,134.0
79,336,168.0
