container_id,container_size,container_pulling_delay
0,0.274,0.00027400000000000005
1,0.392,0.00039200000000000004
2,0.895,0.0008950000000000001
3,1.395,0.001395
4,1.355,0.001355
5,1.404,0.0014039999999999999
6,1.89,0.00189
7,1.392,0.001392
8,1.495,0.001495
9,0.538,0.0005380000000000001
10,1.778,0.001778
11,0.54,0.00054
12,1.196,0.001196
13,1.735,0.001735
14,0.743,0.000743
15,0.436,0.00043599999999999997
16,1.545,0.001545
17,0.866,0.000866
18,1.304,0.001304
19,1.406,0.001406
20,0.384,0.000384
21,0.696,0.000696
22,1.422,0.0014219999999999999
23,0.734,0.000734
24,1.445,0.001445
25,1.809,0.0018089999999999998
26,1.392,0.001392
27,0.345,0.000345
28,1.911,0.001911
29,0.863,0.0008629999999999999
30,1.354,0.0013540000000000002
31,1.4,0.0014
32,1.423,0.001423
33,0.625,0.000625
34,0.254,0.000254
35,0.562,0.0005620000000000001
36,1.171,0.001171
37,0.097,9.7e-05
38,0.743,0.000743
39,0.809,0.000809
40,1.116,0.001116
41,1.748,0.001748
42,1.207,0.0012070000000000002
43,1.937,0.0019370000000000001
44,1.848,0.001848
45,0.191,0.000191
46,0.963,0.000963
47,1.743,0.0017430000000000002
48,1.795,0.001795
49,1.85,0.00185
