container_id,container_size,container_pulling_delay
0,524,262.0
1,264,132.0
2,967,483.5
3,256,128.0
4,711,355.5
5,397,198.5
6,918,459.0
7,498,249.0
8,681,340.5
9,622,311.0
10,685,342.5
11,409,204.5
12,639,319.5
13,330,165.0
14,297,148.5
15,846,423.0
16,606,303.0
17,751,375.5
18,572,286.0
19,826,413.0
20,241,120.5
21,414,207.0
22,354,177.0
23,595,297.5
24,643,321.5
25,484,242.0
26,478,239.0
27,298,149.0
28,575,287.5
29,961,480.5
30,812,406.0
31,461,230.5
32,761,380.5
33,415,207.5
34,207,103.5
35,922,461.0
36,833,416.5
37,575,287.5
38,676,338.0
39,602,301.0
