container_id,container_size,container_pulling_delay
0,736,368.0
1,440,220.0
2,731,365.5
3,754,377.0
4,691,345.5
5,384,192.0
6,905,452.5
7,433,216.5
8,381,190.5
9,958,479.0
10,290,145.0
11,743,371.5
12,768,384.0
13,917,458.5
14,901,450.5
15,708,354.0
16,527,263.5
17,655,327.5
18,240,120.0
19,270,135.0
20,491,245.5
21,532,266.0
22,896,448.0
23,731,365.5
24,837,418.5
25,540,270.0
26,308,154.0
27,301,150.5
28,674,337.0
29,587,293.5
30,667,333.5
31,275,137.5
32,202,101.0
33,543,271.5
34,839,419.5
35,851,425.5
36,334,167.0
37,619,309.5
38,829,414.5
39,474,237.0
