container_id,container_size,container_pulling_delay
0,211,105.5
1,929,464.5
2,343,171.5
3,338,169.0
4,200,100.0
5,998,499.0
6,473,236.5
7,320,160.0
8,790,395.0
9,240,120.0
10,744,372.0
11,307,153.5
12,385,192.5
13,900,450.0
14,707,353.5
15,337,168.5
16,922,461.0
17,580,290.0
18,484,242.0
19,983,491.5
20,564,282.0
21,601,300.5
22,230,115.0
23,434,217.0
24,202,101.0
25,929,464.5
26,982,491.0
27,260,130.0
28,814,407.0
29,789,394.5
30,716,358.0
31,346,173.0
32,806,403.0
33,605,302.5
34,994,497.0
35,544,272.0
36,991,495.5
37,287,143.5
38,214,107.0
39,415,207.5
