container_id,container_size,container_pulling_delay
0,746,373.0
1,887,443.5
2,533,266.5
3,830,415.0
4,559,279.5
5,984,492.0
6,704,352.0
7,353,176.5
8,924,462.0
9,788,394.0
10,969,484.5
11,923,461.5
12,779,389.5
13,699,349.5
14,287,143.5
15,378,189.0
16,723,361.5
17,640,320.0
18,519,259.5
19,267,133.5
20,303,151.5
21,862,431.0
22,484,242.0
23,808,404.0
24,515,257.5
25,579,289.5
26,292,146.0
27,810,405.0
28,386,193.0
29,250,125.0
30,222,111.0
31,500,250.0
32,218,109.0
33,433,216.5
34,796,398.0
35,334,167.0
36,789,394.5
37,628,314.0
38,418,209.0
39,904,452.0
40,246,123.0
41,332,166.0
42,726,363.0
43,437,218.5
44,240,120.0
45,272,136.0
46,701,350.5
47,907,453.5
48,664,332.0
49,472,236.0
50,856,428.0
51,290,145.0
52,874,437.0
53,205,102.5
54,735,367.5
