container_id,container_size,container_pulling_delay
0,1.038,0.001038
1,1.342,0.001342
2,1.085,0.001085
3,0.453,0.000453
4,0.936,0.0009360000000000001
5,1.995,0.0019950000000000002
6,0.756,0.000756
7,0.835,0.0008349999999999999
8,0.57,0.00057
9,1.907,0.001907
10,1.814,0.001814
11,0.534,0.0005340000000000001
12,0.132,0.000132
13,0.499,0.000499
14,1.782,0.001782
15,1.346,0.0013460000000000002
16,1.214,0.001214
17,1.375,0.001375
18,0.757,0.000757
19,0.199,0.000199
20,0.078,7.8e-05
21,1.594,0.0015940000000000001
22,0.41,0.00041
23,1.389,0.001389
24,0.19,0.00019
25,0.749,0.000749
26,0.4,0.0004
27,0.521,0.000521
28,0.96,0.0009599999999999999
29,1.424,0.001424
30,0.25,0.00025
31,1.675,0.001675
32,1.056,0.001056
33,1.142,0.001142
34,1.082,0.001082
35,0.679,0.000679
36,1.996,0.001996
37,0.443,0.000443
38,0.567,0.0005669999999999999
39,1.711,0.001711
