container_id,container_size,container_pulling_delay
0,211,105.5
1,915,457.5
2,828,414.0
3,203,101.5
4,869,434.5
5,598,299.0
6,456,228.0
7,221,110.5
8,809,404.5
9,730,365.0
10,655,327.5
11,980,490.0
12,550,275.0
13,527,263.5
14,553,276.5
15,433,216.5
16,809,404.5
17,428,214.0
18,744,372.0
19,624,312.0
20,948,474.0
21,713,356.5
22,428,214.0
23,248,124.0
24,419,209.5
25,422,211.0
26,261,130.5
27,916,458.0
28,871,435.5
29,739,369.5
30,287,143.5
31,255,127.5
32,550,275.0
33,204,102.0
34,894,447.0
35,443,221.5
36,253,126.5
37,304,152.0
38,762,381.0
39,277,138.5
40,801,400.5
41,793,396.5
42,503,251.5
