container_id,container_size,container_pulling_delay
0,652,326.0
1,961,480.5
2,818,409.0
3,913,456.5
4,928,464.0
5,345,172.5
6,392,196.0
7,303,151.5
8,807,403.5
9,776,388.0
10,783,391.5
11,732,366.0
12,209,104.5
13,554,277.0
14,932,466.0
15,520,260.0
16,659,329.5
17,989,494.5
18,951,475.5
19,892,446.0
20,988,494.0
21,739,369.5
22,994,497.0
23,566,283.0
24,976,488.0
25,280,140.0
26,563,281.5
27,330,165.0
28,927,463.5
29,655,327.5
30,573,286.5
31,450,225.0
32,206,103.0
33,952,476.0
34,804,402.0
35,443,221.5
36,421,210.5
37,572,286.0
38,885,442.5
39,596,298.0
40,340,170.0
41,520,260.0
42,761,380.5
43,489,244.5
44,633,316.5
45,570,285.0
46,304,152.0
47,775,387.5
48,483,241.5
49,582,291.0
