container_id,container_size,container_pulling_delay
0,512,256.0
1,551,275.5
2,493,246.5
3,760,380.0
4,596,298.0
5,555,277.5
6,581,290.5
7,282,141.0
8,953,476.5
9,401,200.5
10,936,468.0
11,701,350.5
12,948,474.0
13,397,198.5
14,540,270.0
15,900,450.0
16,969,484.5
17,508,254.0
18,471,235.5
19,664,332.0
20,406,203.0
21,857,428.5
22,638,319.0
23,764,382.0
24,216,108.0
25,998,499.0
26,377,188.5
27,483,241.5
28,277,138.5
29,229,114.5
30,721,360.5
31,315,157.5
32,817,408.5
33,916,458.0
34,404,202.0
35,657,328.5
36,775,387.5
37,694,347.0
38,546,273.0
39,473,236.5
