container_id,container_size,container_pulling_delay
0,515,257.5
1,239,119.5
2,478,239.0
3,239,119.5
4,255,127.5
5,470,235.0
6,222,111.0
7,635,317.5
8,497,248.5
9,754,377.0
10,281,140.5
11,554,277.0
12,854,427.0
13,251,125.5
14,649,324.5
15,786,393.0
16,871,435.5
17,569,284.5
18,869,434.5
19,942,471.0
20,676,338.0
21,512,256.0
22,226,113.0
23,504,252.0
24,252,126.0
25,864,432.0
26,853,426.5
27,732,366.0
28,225,112.5
29,362,181.0
30,892,446.0
31,419,209.5
32,882,441.0
33,697,348.5
34,867,433.5
35,738,369.0
36,203,101.5
37,386,193.0
38,914,457.0
39,457,228.5
40,718,359.0
41,698,349.0
42,326,163.0
43,617,308.5
44,337,168.5
45,546,273.0
46,602,301.0
47,257,128.5
48,282,141.0
49,501,250.5
50,429,214.5
51,881,440.5
52,395,197.5
53,239,119.5
54,246,123.0
