container_id,container_size,container_pulling_delay
0,473,236.5
1,859,429.5
2,832,416.0
3,570,285.0
4,606,303.0
5,470,235.0
6,351,175.5
7,857,428.5
8,629,314.5
9,670,335.0
10,940,470.0
11,240,120.0
12,644,322.0
13,551,275.5
14,227,113.5
15,930,465.0
16,269,134.5
17,809,404.5
18,328,164.0
19,411,205.5
20,517,258.5
21,953,476.5
22,300,150.0
23,616,308.0
24,326,163.0
25,612,306.0
26,654,327.0
27,713,356.5
28,353,176.5
29,261,130.5
30,551,275.5
31,696,348.0
32,944,472.0
33,945,472.5
34,251,125.5
35,486,243.0
36,993,496.5
37,780,390.0
38,982,491.0
39,826,413.0
40,789,394.5
41,957,478.5
42,715,357.5
43,857,428.5
44,834,417.0
45,363,181.5
46,549,274.5
47,961,480.5
48,469,234.5
49,422,211.0
