container_id,container_size,container_pulling_delay
0,889,444.5
1,763,381.5
2,239,119.5
3,581,290.5
4,475,237.5
5,784,392.0
6,862,431.0
7,241,120.5
8,960,480.0
9,710,355.0
10,224,112.0
11,852,426.0
12,879,439.5
13,796,398.0
14,461,230.5
15,283,141.5
16,958,479.0
17,805,402.5
18,859,429.5
19,265,132.5
20,756,378.0
21,790,395.0
22,325,162.5
23,349,174.5
24,525,262.5
25,417,208.5
26,892,446.0
27,397,198.5
28,938,469.0
29,453,226.5
30,694,347.0
31,635,317.5
32,691,345.5
33,447,223.5
34,451,225.5
35,897,448.5
36,953,476.5
37,959,479.5
38,546,273.0
39,428,214.0
40,687,343.5
41,266,133.0
42,245,122.5
43,776,388.0
44,884,442.0
45,867,433.5
46,911,455.5
47,241,120.5
48,639,319.5
49,362,181.0
50,386,193.0
51,860,430.0
52,679,339.5
