container_id,container_size,container_pulling_delay
0,332,166.0
1,745,372.5
2,705,352.5
3,554,277.0
4,758,379.0
5,822,411.0
6,311,155.5
7,289,144.5
8,212,106.0
9,381,190.5
10,859,429.5
11,657,328.5
12,951,475.5
13,556,278.0
14,903,451.5
15,624,312.0
16,328,164.0
17,555,277.5
18,584,292.0
19,842,421.0
20,296,148.0
21,823,411.5
22,425,212.5
23,584,292.0
24,258,129.0
25,714,357.0
26,897,448.5
27,909,454.5
28,937,468.5
29,805,402.5
30,904,452.0
31,700,350.0
32,403,201.5
33,572,286.0
34,906,453.0
35,280,140.0
36,438,219.0
37,308,154.0
38,383,191.5
39,228,114.0
40,485,242.5
41,519,259.5
42,251,125.5
43,817,408.5
44,364,182.0
45,606,303.0
46,465,232.5
47,986,493.0
48,301,150.5
49,555,277.5
