container_id,container_size,container_pulling_delay
0,641,320.5
1,497,248.5
2,897,448.5
3,848,424.0
4,987,493.5
5,898,449.0
6,350,175.0
7,623,311.5
8,863,431.5
9,711,355.5
10,240,120.0
11,266,133.0
12,536,268.0
13,376,188.0
14,478,239.0
15,239,119.5
16,652,326.0
17,765,382.5
18,546,273.0
19,760,380.0
20,299,149.5
21,458,229.0
22,693,346.5
23,521,260.5
24,840,420.0
25,956,478.0
26,459,229.5
27,245,122.5
28,314,157.0
29,697,348.5
30,720,360.0
31,688,344.0
32,406,203.0
33,394,197.0
34,413,206.5
35,523,261.5
36,845,422.5
37,772,386.0
38,507,253.5
39,296,148.0
