container_id,container_size,container_pulling_delay
0,576,288.0
1,545,272.5
2,812,406.0
3,904,452.0
4,803,401.5
5,205,102.5
6,398,199.0
7,923,461.5
8,968,484.0
9,212,106.0
10,525,262.5
11,635,317.5
12,432,216.0
13,518,259.0
14,859,429.5
15,572,286.0
16,994,497.0
17,651,325.5
18,881,440.5
19,800,400.0
20,812,406.0
21,762,381.0
22,249,124.5
23,458,229.0
24,938,469.0
25,488,244.0
26,627,313.5
27,398,199.0
28,463,231.5
29,860,430.0
30,266,133.0
31,313,156.5
32,925,462.5
33,992,496.0
34,873,436.5
35,523,261.5
36,492,246.0
37,990,495.0
38,953,476.5
39,296,148.0
40,226,113.0
41,419,209.5
42,515,257.5
43,789,394.5
44,832,416.0
45,520,260.0
46,272,136.0
47,570,285.0
48,295,147.5
49,299,149.5
50,846,423.0
51,728,364.0
52,731,365.5
53,973,486.5
54,331,165.5
55,368,184.0
56,723,361.5
57,818,409.0
58,269,134.5
59,812,406.0
60,371,185.5
61,797,398.5
62,212,106.0
63,894,447.0
64,912,456.0
65,716,358.0
66,874,437.0
67,404,202.0
68,200,100.0
69,720,360.0
70,621,310.5
71,610,305.0
72,892,446.0
73,340,170.0
74,901,450.5
75,764,382.0
76,569,284.5
77,907,453.5
78,564,282.0
79,301,150.5
