container_id,container_size,container_pulling_delay
0,682,341.0
1,520,260.0
2,997,498.5
3,796,398.0
4,605,302.5
5,649,324.5
6,640,320.0
7,261,130.5
8,846,423.0
9,262,131.0
10,971,485.5
11,314,157.0
12,945,472.5
13,583,291.5
14,218,109.0
15,265,132.5
16,771,385.5
17,906,453.0
18,818,409.0
19,376,188.0
20,491,245.5
21,813,406.5
22,299,149.5
23,968,484.0
24,566,283.0
25,707,353.5
26,563,281.5
27,677,338.5
28,232,116.0
29,537,268.5
30,573,286.5
31,259,129.5
32,205,102.5
33,264,132.0
34,426,213.0
35,944,472.0
36,211,105.5
37,294,147.0
38,779,389.5
39,521,260.5
40,494,247.0
41,700,350.0
42,703,351.5
